Date received,Tag,Consumer Claim,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
05/09/2013,Mortgage,,,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,NM,883XX,Older American,,Phone,06/27/2013,Closed with monetary relief,Yes,Yes,403541
06/21/2015,Payday loan,"I received numerous calls & emails from CashCall ( the company ) to get loans. I needed the $ $ $ and I finally gave in and got into a financial situation ( 125 % ) interest and have been challenging the CashCall Inc. and finally they reduced the interest rate from 125 % to % 75. 

I was wondering if could get assistance from your organization to get a better interest rate from CashCall Inc.",Company believes it acted appropriately as authorized by contract or law,"CASHCALL, INC.",VA,221XX,,Consent provided,Web,06/23/2015,Closed with explanation,Yes,Yes,1430873
01/06/2019,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,10459,Servicemember,Consent not provided,Web,01/06/2019,Closed with non-monetary relief,Yes,,3117827
04/05/2016,Bank account or service,,,TD BANK US HOLDING COMPANY,NJ,08901,,,Referral,04/07/2016,Closed with explanation,Yes,No,1865343
11/08/2012,Mortgage,,,WELLS FARGO & COMPANY,SC,29576,,,Web,11/08/2012,Closed with explanation,Yes,No,187528
11/17/2017,Credit card or prepaid card,"Some months ago I began receiving credit cards offers from Capital One. Both my wife and I have permanently opted out of receiving credit card offers so these solicitations stood out. We have no business dealings with Capital One. About two or three months ago I called them to 1. ask them to stop sending the offers, 2. ask them the source of my contact info ( I wanted to know which company sold my contact info without my permission ). Capital One agreed to remove our names from their mailing list but refused to provide the source of our contact information.
A month later my wife got another Capital One credit card offer in the mail and yesterday I got another one. Can they be fined for this? To whom are they accountable for ignoring both the Opt Out and my telephone request?",,CAPITAL ONE FINANCIAL CORPORATION,MD,,,Consent provided,Web,11/17/2017,Closed with explanation,Yes,,2732022
09/11/2015,Debt collection,"I received a call from XXXX XXXX XXXX from Phoenix Equity. While on the phone he repeatedly claimed I owed a debt on a credit card. He would not tell me what the card was or when it was from until I pressed him. He said it was a capital XXXX card from 2004. When I stated that I could not accept a debt that old or even knew if it was legitimate he stated, "" This amount ( XXXX is his claim ) is a fraudulent amount and we can prosecute and put you in jail for up to a year. '' I stated I knew my rights and he could not threaten to sue me. He stated, "" Of course you do, you are a fraudulent person. '' The name he gave was XXXX XXXX and he gave me his phone number as XXXX ext XXXX.",,PHOENIX EQUITY PARTNERS LLC,NV,895XX,,Consent provided,Web,09/16/2015,Untimely response,No,No,1561095
06/02/2018,"Credit reporting, credit repair services, or other personal consumer reports",,,Innovis,NY,11784,,Consent not provided,Web,06/02/2018,Closed with explanation,Yes,,2924542
07/01/2014,Mortgage,,,"SELECT PORTFOLIO SERVICING, INC.",NC,28056,,,Web,07/01/2014,Closed with explanation,Yes,No,918836
11/15/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",UT,84020,,Consent not provided,Web,11/15/2018,Closed with explanation,Yes,,3073627
07/21/2015,Mortgage,,,NATIONSTAR MORTGAGE,NY,11207,,,Postal mail,07/28/2015,Closed with explanation,Yes,No,1476595
08/12/2014,Credit card,,,Resurgent Capital Services L.P.,MA,01826,,,Web,08/14/2014,Closed with explanation,Yes,Yes,979792
07/12/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,SC,29204,,Consent not provided,Web,07/12/2018,Closed with non-monetary relief,Yes,,2960971
11/02/2015,Debt collection,,,"URS Holding, LLC",TX,786XX,,Consent not provided,Web,11/02/2015,Closed with explanation,Yes,Yes,1636541
04/02/2018,Mortgage,,,OCWEN LOAN SERVICING LLC,CA,90066,,,Referral,04/18/2018,Closed with explanation,Yes,,2879548
05/24/2012,Mortgage,,,JPMORGAN CHASE & CO.,WI,541XX,,,Web,05/30/2012,Closed with explanation,Yes,No,87050
08/31/2018,"Money transfer, virtual currency, or money service",,,MTACC Inc.,CA,94583,,Other,Web,08/31/2018,Untimely response,No,,3007302
11/21/2016,Bank account or service,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,OH,44129,,Consent not provided,Web,11/21/2016,Closed with explanation,Yes,No,2218036
04/25/2013,Credit reporting,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OK,749XX,,,Postal mail,04/25/2013,Closed with explanation,Yes,No,391436
05/30/2018,Mortgage,,,"SELECT PORTFOLIO SERVICING, INC.",FL,33404,,,Phone,05/30/2018,Closed with explanation,No,,2921418
09/23/2015,Debt collection,"PDQ Services , Inc is in violation of HIPAA on an account you have reported on my credit file. The company is XXXX XXXX XXXX, XXXX XXXX. ( A XXXX search of "" XXXX XXXX XXXX XXXX '' returns the medical office # XXXX in the search results. ) '' Under a new FACTA provision, consumer reporting agencies may not report the name, address, and telephone number of any medical creditor unless the information is provided in codes that do not identify or infer the provider of care or the individual 's medical condition. This does not apply to insurance companies selling other than property and casualty insurance. ( FCRA 605 ( a ) ( 6 ) ). "" I am requesting that you delete any reference to this account from my credit files contained on all XXXX credit bureaus..",Company believes it acted appropriately as authorized by contract or law,"PDQ Services, Inc.",GA,302XX,Servicemember,Consent provided,Web,09/23/2015,Closed with explanation,Yes,Yes,1576648
03/20/2018,"Credit reporting, credit repair services, or other personal consumer reports",,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30135,,Consent not provided,Web,03/20/2018,Closed with explanation,Yes,,2848610
10/07/2015,Consumer Loan,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,NH,038XX,,Consent not provided,Web,10/07/2015,Closed with explanation,Yes,No,1596593
05/01/2012,Mortgage,,,JPMORGAN CHASE & CO.,NJ,07108,,,Web,05/03/2012,Closed with explanation,Yes,Yes,68251
12/04/2018,"Credit reporting, credit repair services, or other personal consumer reports","According to my recent credit report request from XXXX, Transunion, and XXXX there are several inaccurate accounts on my report that I demand removal as they are in violation of the following applicable credit reporting laws : 15 USC 1681623 ( a ) of FCRA/FACTA I am exercising my right to audit your records that claim you have verified to the credit bureaus this debt. 

15 USC 168123 ( a ) 7 requires early warning notice ONLY after they have notified said person before it is placed on the credit report ( See Attached ) Note : There is a {$1000.00} fine if this request is not completed in 30 days as stated in FACTA. 


VIOLATIONS OF CREDITORS & XXXX, TRANSUNION, & XXXX VIOLATION COUNT 1 [ 15 U.S.C. 1681c ] ( a ) There are several items on my report that are not legally allowed on my report VIOLATION COUNT 2 [ 15 U.S.C. 1681c-1 ] ( a ) I Have accounts on my report that do not belong to me and my identity may be  compromised. 

VIOLATION COUNT 3 [ 15 U.S.C. 1681e ] Compliance procedures VIOLATION COUNT 4 [ 15 U.S.C. 1681h ] All of the creditors do not have records of my proper identification CREDITORS AND ACCOUNTS TO BE REMOVED XXXX XXXX XXXX XXXX   Transunion Account Number XXXX XXXX XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX  XXXX XXXX   Transunion Account Number XXXX XXXX XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX XXXX XXXX   Transunion Account Number XXXX XXXX XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX/XXXX XXXX XXXX  Account Number XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX   XXXX XXXX Account Number XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX XXXX XXXX XXXX Account Number XXXX XXXX Account Type Collection Account Collection Account THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX  XXXX XXXX XXXX XXXX   XXXX Transunion Account Number XXXX XXXX XXXX Account Type Revolving Account Revolving Account Revolving Account THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX XXXX XXXX XXXX XXXX Account Number XXXX Account Type Revolving Account THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT XXXX & XXXX XXXX XXXX XXXX Transunion Account Number XXXX XXXX XXXX THE ABOVE ACCOUNT DOES NOT BELONG TO ME PLEASE REMOVE IT",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,112XX,,Consent provided,Web,12/04/2018,Closed with explanation,Yes,,3091009
04/16/2015,Consumer Loan,"We made a electronic bill pay through our bank that was incorrect and subsequently overpaid the amount due. When we advised VW Credit of the problem they REFUSED to return our money. Even after being assured by our bank that the funds had cleared, VW refused to return the overpayment. VW can not be trusted. Still have not been repaid for the over payment.",,VW Credit,CA,936XX,,Consent provided,Web,04/16/2015,Closed with explanation,Yes,No,1332411
04/04/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,30058,,,Referral,04/04/2018,Closed with non-monetary relief,Yes,,2864496
12/17/2016,Credit reporting,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WA,98146,,Consent not provided,Web,12/17/2016,Closed with explanation,Yes,No,2254135
11/26/2018,"Credit reporting, credit repair services, or other personal consumer reports",I went to buy a car and was told by the dealer i had been denied a loan because i had 2 collection accounts on my credit report. I obtained the credit reports and it said I owe {$190.00} to XXXX & XXXX XXXX and originated with XXXX XXXX and {$570.00} to XXXX XXXX XXXX originating with XXXX XXXX XXXX. Everyone who has owned a car knows you can not run a bill with insurance. If you do not pay by your due date your policy is cancelled and if you have an accident and attempt to make a claim it will be denied. So the premise under which i supposedly owe this debt is entirely fraudulent. I believe XXXX XXXX and XXXXXXXX XXXX XXXX has committed fraud by selling this fraudulent debt to XXXX & XXXX XXXX and XXXX XXXX XXXX which is attempting to collect it from me. This fraudulent debt has caused my credit rating to go down by as much as 200 points.,,"EQUIFAX, INC.",FL,32238,,Consent provided,Web,11/26/2018,Closed with explanation,Yes,,3082654
11/02/2015,Debt collection,We consistently receive phone calls to our home number from Portfolio Recovery Services. I have asked them not to call and confirmed we do not have an account in debt collection. They continue to harrass us by contacting our home number and hanging up or leaving a voicemail.,,PORTFOLIO RECOVERY ASSOCIATES INC,TX,750XX,Servicemember,Consent provided,Web,11/02/2015,Closed with explanation,Yes,No,1635707
06/18/2013,Bank account or service,,,BB&T CORPORATION,NC,27103,,,Referral,06/19/2013,Closed with explanation,Yes,Yes,435298
01/10/2013,Mortgage,,,PHH Mortgage Services Corporation,GA,30058,,,Web,01/11/2013,Closed with explanation,Yes,No,227756
01/22/2013,Mortgage,,,M&T BANK CORPORATION,VA,234XX,,,Web,01/23/2013,Closed with explanation,Yes,No,253775
11/29/2016,Credit reporting,,,"EQUIFAX, INC.",NY,11758,,Consent not provided,Web,11/29/2016,Closed with explanation,Yes,Yes,2224901
01/19/2018,Checking or savings account,,,FIRSTBANK PUERTO RICO,PR,00680,,,Referral,01/25/2018,Closed with explanation,Yes,,2789274
03/05/2013,Bank account or service,,,BB&T CORPORATION,GA,304XX,,,Referral,03/07/2013,Closed with explanation,Yes,Yes,342243
10/01/2014,Mortgage,,,MORGAN STANLEY & CO. LLC,PA,18505,Servicemember,,Web,10/17/2014,Closed with explanation,Yes,Yes,1054072
12/07/2017,Mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,33320,,Other,Web,12/07/2017,Closed with explanation,Yes,,2749290
09/15/2014,Mortgage,,,WELLS FARGO & COMPANY,AL,366XX,Older American,,Web,09/15/2014,Closed with explanation,Yes,No,1029662
02/05/2019,"Payday loan, title loan, or personal loan",,,"LDF Holdings, LLC",MI,49601,,Consent not provided,Web,02/12/2019,Closed with explanation,Yes,,3143163
12/20/2012,Mortgage,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91606,,,Referral,12/21/2012,Closed with explanation,Yes,No,213662
12/11/2013,Mortgage,,,"SUNTRUST BANKS, INC.",VA,23321,Servicemember,,Web,12/18/2013,Closed with explanation,Yes,No,630414
11/02/2017,"Credit reporting, credit repair services, or other personal consumer reports","This complaint is an update with more documents to show the issues with XXXX XXXX XXXX. Since XX/XX/XXXX when I initiated a complaint against the three CRA 's ; XXXX quickly again changed the account info- but still incorrect. 

The CFPB should instruct the CRA 's to look into their more permanent files along with the more accessible day to day database they use. 

When they do a comparison of the accounts listed, the CRA 's should see that the 3 individual accounts were actually charged off in XXXX/XXXX of XXXX not XXXX. 

The 3 XXXX accounts listed as joint holder should be listed as charge off XX/XX/XXXX.",,"EQUIFAX, INC.",MA,01852,,Consent provided,Web,11/02/2017,Closed with explanation,No,,2719043
03/28/2017,Credit card,,,DISCOVER BANK,,,,,Postal mail,03/28/2017,Closed with explanation,Yes,No,2407111
05/30/2018,Debt collection,This debt appears to be the result of either identity theft or fraud. Consumer has no knowledge of this debt and has attempted to get additional information from the debt collector about it. This matter has also been reported to XXXX.,,"OPTIMUM OUTCOMES, INC.",PA,183XX,,Consent provided,Web,05/30/2018,Closed with explanation,Yes,,2922232
07/24/2016,Student loan,,,"NELNET, INC.",FL,33334,,Consent not provided,Web,07/26/2016,Closed with explanation,Yes,No,2027265
09/22/2018,"Credit reporting, credit repair services, or other personal consumer reports",,,"EQUIFAX, INC.",FL,32207,,Consent not provided,Web,09/22/2018,Closed with non-monetary relief,Yes,,3026380
09/29/2015,Mortgage,,Company chooses not to provide a public response,U.S. BANCORP,IL,60614,,,Referral,09/29/2015,Closed with explanation,Yes,No,1585812
01/20/2015,Credit card,,,NAVY FEDERAL CREDIT UNION,FL,33177,,,Web,01/30/2015,Closed with non-monetary relief,Yes,No,1200438
08/06/2012,Bank account or service,,,FIFTH THIRD FINANCIAL CORPORATION,FL,32792,,,Referral,08/15/2012,Closed with monetary relief,Yes,No,130167
03/25/2015,Debt collection,,,NCB MANAGEMENT SERVICES INC,NJ,088XX,,Consent not provided,Web,03/25/2015,Closed with explanation,Yes,No,1300659
10/19/2016,Mortgage,,,HSBC NORTH AMERICA HOLDINGS INC.,CA,94806,,Consent not provided,Web,10/19/2016,Closed with explanation,Yes,No,2165317
04/25/2014,Mortgage,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,342XX,,,Referral,04/30/2014,Closed with explanation,Yes,No,825703
03/28/2018,Credit card or prepaid card,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92647,,,Referral,03/29/2018,Closed with explanation,Yes,,2858847
04/24/2019,Debt collection,,,WLCC,OK,,,,Web,04/24/2019,Closed with explanation,Yes,,3221830
04/03/2018,Credit card or prepaid card,,,JPMORGAN CHASE & CO.,CA,90405,,Consent not provided,Web,04/03/2018,Closed with non-monetary relief,Yes,,2863401
12/11/2014,Credit reporting,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,333XX,,,Web,12/15/2014,Closed with explanation,Yes,No,1153416
02/13/2015,Credit card,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,010XX,,,Web,02/20/2015,Closed with explanation,Yes,No,1240461
08/28/2018,Debt collection,In response to CFPB compliant # XXXX I requested for TRANSWORLD SYSTEM INC in my last compliant to stop all collection attempts and they ignored that request.,,TRANSWORLD SYSTEMS INC,GA,300XX,,Consent provided,Web,08/28/2018,Closed with explanation,Yes,,3004423
08/25/2017,Debt collection,"A collection agency, Calvary Portfolio Service, fraudulently re-aged a past due debt, making it look like the account became delinquent later than it did. The account has actually been past due in excess of seven years and is also required to be removed from my credit report by law. I have filed disputes with the respective credit repositories -- but the continue to be listed as negative / outstanding item on my credit report due to the collection agency fraudulently re-aging the debt.",,"CAVALRY INVESTMENTS, LLC",NC,282XX,,Consent provided,Web,08/25/2017,Closed with explanation,Yes,,2651046
06/28/2016,Credit reporting,,,"EQUIFAX, INC.",LA,70802,,Consent not provided,Web,06/29/2016,Closed with explanation,Yes,No,1988389
02/08/2017,Student loan,,,"Navient Solutions, LLC.",SC,29063,,Consent not provided,Web,02/08/2017,Closed with explanation,Yes,No,2335214
03/31/2019,Checking or savings account,,,JPMORGAN CHASE & CO.,IL,600XX,Servicemember,,Web,03/31/2019,Closed with explanation,Yes,,3197195
05/19/2015,Mortgage,We had an insurance check for work to be done in our bedroom that was made out to us and our mortgage company Fay servicing. We received the XXXX disbursement and were told when we were XXXX done with the work that they would send an inspector out. After the inspector came out the next XXXX would be disbursed. We called 8 days ok and no one has called us to set up the XXXX inspection. After calling Fay servicing over XXXX times and email contact we have no resolution on when they will conduct the inspection. We have had our entire bedroom crammed into our living room for over three months. The lack of response from Fay servicing and timely assistance has been unprofessional.,,"Fay Servicing, LLC",CT,060XX,,Consent provided,Web,05/19/2015,Closed with explanation,Yes,No,1382553
01/19/2015,Payday loan,,,Guidiville Indian Rancheria,IL,60202,,,Web,01/19/2015,Closed with explanation,Yes,No,1198848
02/01/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,75071,,Consent not provided,Web,02/01/2018,Closed with explanation,Yes,,2799858
08/07/2018,Student loan,,,"Navient Solutions, LLC.",MO,63090,,Consent not provided,Web,08/07/2018,Closed with explanation,Yes,,2984258
02/16/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,113XX,,Consent not provided,Web,02/16/2018,Closed with explanation,Yes,,2817022
05/01/2013,Mortgage,,,JPMORGAN CHASE & CO.,NY,11220,,,Referral,05/02/2013,Closed with explanation,Yes,No,396939
11/19/2015,Debt collection,"XXXX violated FDCPA XXXX by filing in the wrong jurisdiction which was XXXX XXXX, GA case on XXXX XXXX, XXXX and dismissed on XXXX XXXX, XXXX while the case was being held in XXXX XXXX GA as of XXXX XXXX, XXXX under. case. It was time barred from giving the chain of custody given to validate party in interest under case in XXXX XXXX, XXXX. FDCPA XXXX -K the frequency and irresponsibility of follow Federal debt collection guidelines in XXXX different incidents when it had opportunity to product the documents to validate it as party in interest it failed to do so from XXXX XXXX XXXX, XXXX showing persistence and determination to continue violations of FDCPA XXXX. The unfair debt collection practices violating FDCPA XXXX to "" ambushed '' and surprised the Defendant with a redacted bill of sale and affidavit of the debt 2 years after it was requested since the original filing case # by was unconscionable since they failed to produce copies on XXXX XXXX, XXXX the bill of sale and affidavit from Wells Fargo to Defendant.",Company chooses not to provide a public response,WELLS FARGO & COMPANY,GA,303XX,"Older American, Servicemember",Consent provided,Web,11/24/2015,Closed with explanation,Yes,No,1663986
05/30/2014,Consumer Loan,,,SYNCHRONY FINANCIAL,FL,327XX,Servicemember,,Phone,06/04/2014,Closed with explanation,Yes,Yes,875266
08/08/2014,Credit card,,,JPMORGAN CHASE & CO.,OH,434XX,,,Web,08/27/2014,Closed with explanation,Yes,Yes,976043
04/02/2015,Debt collection,"In XXXX I was a XXXX customer. I decided in XXXX to go with XXXX and ended the services with XXXX. I called XXXX and requested boxes to send their converter boxes to them. The boxes were delivered to me and I packed the converter boxes to be shipped back to XXXX. The representative that I spoke with in late XXXX stated that the boxes would be picked up after I packed them by XXXX. After speaking with her I realized that I had another question for the representative and called back. The next representative stated to me that the boxes were outdated and I could throw them away. I stated to her that I would not throw them away but send them back to XXXX. The representative stated that even if I sent the boxes back to XXXX, I would not be given credit because the boxes were outdated and I needed to just pay for them. I stated to the representative that I would send the boxes back and they could do whatever they needed to do with the boxes. 

It showed upon my credit report that I owed XXXX {$680.00}, I disputed this back in XXXX and it was removed from my credit report in XXXX. Now it is back on my credit report but with a different collection agency. I do not owe this debt, XXXX is trying to make me pay for their outdated boxes",,ERC,LA,700XX,,Consent provided,Web,04/02/2015,Closed with non-monetary relief,Yes,No,1312260
01/29/2018,Credit card or prepaid card,I noticed my credit card was not working so i called chase and they said the account has been closed but they could not tell me why. I tried calling a few times but got nowhere. I just received a letter saying they are closing both credit cards with them as well as my checking and savings account,,JPMORGAN CHASE & CO.,NY,112XX,,Consent provided,Web,01/29/2018,Closed with explanation,Yes,,2797486
08/01/2013,Credit card,,,JPMORGAN CHASE & CO.,TX,75002,Older American,,Web,08/01/2013,Closed with explanation,Yes,No,472254
09/25/2018,Checking or savings account,,,JPMORGAN CHASE & CO.,LA,70501,,,Referral,09/25/2018,Closed with explanation,Yes,,3029073
03/14/2016,Credit card,,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,CA,91910,,Consent not provided,Web,03/14/2016,Closed with non-monetary relief,Yes,No,1831093
02/07/2012,Mortgage,,,PHH Mortgage Services Corporation,CA,90802,,,Web,04/13/2012,Closed without relief,Yes,No,20676
10/12/2017,Credit card or prepaid card,"I visited Commerce Bank in XXXX XXXX Missouri XXXX, I have been a customer there for several years and someone was fraudulently using ach debits on my personal checking account to make payments for their own account. This was the second time within 2 weeks this matter occurred, to speed up the process in order to get my money back I had to go there in person to sign an affidavit. During my visit with the bank manager XXXX he claimed there was nothing the bank could do and this is what I have to do each time this happens. I explained my income is Social Security money and I was worried if this kept happening that my money could all be tied up and I would start bouncing auto payments or missing payments I have due. He said they had a good deal on a credit card with the bank that had no interest for a year and could payoff another credit card and be charged only 5 % interest on that and on overdrafts, it was better than having the standard overdraft protection the bank offers although there is a fee of {$20.00} each time instead of the {$37.00}. He said, I can you an answer in no time and it will only take a few minutes if that. I agreed to start the process and decided I would payoff my XXXX XXXX XXXX and close it out as a result. During the application process this manager just up and asked me "" how long have you been XXXX? '' I was stunned, no one ever from a business stand point had ever asked such a question ... very personal and unrelated to finance or my ability to finance I thought. Almost simultaneously following that very disturbing and inappropriate question question, the process which I was assured would only take a few minutes changed to .... '' they 're going to have to review your credit and consider a limit, I 'll have to get back to you later today maybe ''. I was in complete shut down, stunned that I was being singled out for being XXXX, asked questions unrelated to business, and more or less spinning with rejection from this perception as it was being created in front of my face over being on fixed income for being XXXX, simply put "" not worthy ''. 

I called to complain about this by asking for the Managers supervisor to return my call. I explained what was going on and this person chose to defend and put words in place for his manager, stating "" I do n't know what happened and there are two sides to every story, maybe he was just making conversation ''? 

You mean prying, filtering, screening, and discriminating against me for being XXXX? 

First I 'm told it only takes a few minutes to get an answer, the discovery that I 'm on XXXX is made and then it 's delayed and now they are unsure. 

I just finished off a car loan on 5 years in XXXX XXXX, I have a XXXX XXXX XXXX with a XXXX dollar limit ... no one there asked of my condition. I have XXXX XXXX with a XXXX dollar limit, no one there asked me anything about my XXXX. I have a new car loan with XXXX XXXX started in XXXX XXXX i HAVE PERFECT PAYMENT RECORDS AND HAVE HANDLED ALL MY ACCOUNTS EXTREMELY RESPONSIBLE. THIS ALSO INCLUDES MY MORTGAGE PAYMENTS OF XXXX A MONTH THAT HAVE HAD FOR 25 YEARS NOW .... all responsibly paid on. 

I even explained to the manager I was recently pre- approved by Commerce for a Mortgage Loan of over {$100000.00} on my complete own as an individual, THE LOAN DEPT THERE DID NOT ASK A THING ABOUT MY XXXX OR HAVE IT AS AN ISSUE TO CONSIDER ... THEY PRE-APPROVED ME. 

MY CREDIT SPEAKS FOR ITSELF. This is my point and why I 'm shocked and dismayed that Commerce Bank was now making my illness an issue to hold back a process. I do n't believe for one minute that anyone with my score and a job would have been scrutinized or screened like I was for something that I was assured would only take a few minutes tops .... the fact that I had to disclose I was on social security is verified through a letter of benefits by SSA that I can and have had to obtain, the SSA makes these available each new year to people for this very reason. 

Discrimination is when you do n't make all the people applying have the same requirements, is everyone applying at Commerce Bank asked "" how long have you been XXXX ''. 

Worse is this, I understand asking me if I have had benefit income for a certain amount of time, I have no problem discussing my financial position for credit application matters. I do not understand at all "" how long have you been XXXX "" applied to qualifying for a loan though? I get XXXX income, how long I have that is one thing but how long have I been XXXX is not relevant and wholly inappropriate. I had to explain this to two grown adult men who could n't seem to realize what they were asking and/or defending of being asked. Are you kidding me? 

Commerce Bank has the luxury of knowing I 'm on XXXX because # 1 I had to express this over having my money stolen from my account and explaining it 's ssa fixed income. # 2 I had to disclose this for proof of income. By asking me how long I have been XXXX they began a screening process that they ca n't apply on anyone else or will, just the XXXX. Due to the fact that I was assured it only took a few minutes and know I have good credit and a great credit history, this delay created to "" further review '' me and application it is pure discrimination based on me ( or anyone for that matter ) being XXXX. 

I was 100 % SINGLED OUT where a person with a paycheck would not be I know your agency does not practice in opinions, legal or political and I respect that but if I need to prove my XXXX and provide you my SSA Benefit Letter, I gladly will. 

Funny thing, I applied for several mortgage approvals over the past two years and credit cards from other companies, I was approved by all and none of them had the option to see me in person and the one place where I have banked for years and they do know me and can see me? I get scrutinized the most and put on hold. 

At XXXX I called this manager and informed him I no longer was interested in obtaining a credit card with Commerce Bank. He told me it was too late to stop the process but he will try and do it anyway, I will call you back later and let you know what I find out. 

It 's XXXX am XXXX XXXX now, no one from Commerce Bank as contacted me or attempted to contact me. I 'm giving him 24 hours before I call him to point out it 's been 24 hours .... 

I suggest no one who is XXXX use this institution, it 's pretty clear how they practice their craft at Commerce Bank and it includes finding ways to NOT serve those of us all in the same boat, the boat of denial XXXX has created for the XXXX who bank there",,COMMERCE BANK,MO,631XX,Older American,Consent provided,Web,10/12/2017,Closed with explanation,Yes,,2700102
06/01/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,WV,25314,,Consent not provided,Web,06/01/2018,Closed with non-monetary relief,Yes,,2924084
06/29/2015,Credit reporting,,Company chooses not to provide a public response,Experian Information Solutions Inc.,AL,365XX,,Consent not provided,Web,06/29/2015,Closed with explanation,Yes,Yes,1442161
03/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",,,"EQUIFAX, INC.",TX,77386,,,Web,03/26/2019,In progress,Yes,,3184866
04/18/2017,Debt collection,,,Credit Adjustments Inc,FL,33912,,,Referral,05/11/2017,Closed with explanation,Yes,No,2439878
01/29/2016,Credit card,,Company chooses not to provide a public response,BANCO POPULAR DE PUERTO RICO,TX,78691,,Consent not provided,Web,01/29/2016,Closed with explanation,Yes,No,1765241
08/22/2017,Debt collection,this company National Credit System is reporting on my credit for a debt I do not owe I have sent them paper work along with my ID with my name and dob that do not match what they are reporting on my credit file and they are still reporting on my credit report for {$360.00}. I have also tried contacted the original company who is no longer existing National Credit System can not provider proof that this debt is mines.,,"National Credit Systems,Inc.",FL,,,Consent provided,Web,08/22/2017,Closed with explanation,Yes,,2648750
04/07/2019,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,77079,,Consent not provided,Web,04/07/2019,Closed with non-monetary relief,Yes,,3204306
04/05/2019,Vehicle loan or lease,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,76137,,,Referral,04/08/2019,Closed with explanation,No,,3204688
07/09/2012,Mortgage,,,HSBC NORTH AMERICA HOLDINGS INC.,FL,322XX,,,Referral,07/11/2012,Closed with explanation,Yes,No,115081
05/27/2016,Debt collection,,Company believes it acted appropriately as authorized by contract or law,ERC,OR,974XX,,Consent not provided,Web,05/27/2016,Closed with non-monetary relief,Yes,No,1942977
10/20/2014,Mortgage,,,OCWEN LOAN SERVICING LLC,NY,10701,,,Web,10/20/2014,Closed with explanation,Yes,No,1078609
